noise_1_channel,noise_2_channel,noise_3_channel,noise_4_channel,amp_channel,trig_channel
-32767,-18,-18,-19,28,5376
28155,-18,1,-19,9,7149
-27946,-18,1,-19,9,2963
-999,-18,-18,0,28,9053
-1584,-18,1,0,47,1568
-30795,-18,1,-19,28,10014
24834,-18,1,-19,28,965
-32767,-18,-18,-19,47,9769
32767,-18,1,0,28,2379
-32767,1,1,0,47,6960
32767,-18,1,-19,47,5735
-32767,-18,1,-19,47,3962
14323,-18,-18,0,28,8242
-15152,1,1,-19,28,2152
-16756,-18,1,0,28,9637
12021,1,1,0,9,1153
-32767,1,1,-19,28,10222
32767,1,1,-19,9,1323
-32767,-18,1,0,47,8600
32767,1,1,-19,9,4075
-32767,1,1,-19,9,5357
27777,-18,1,-19,47,7111
-27852,1,-18,-19,28,2925
-1377,1,1,0,28,9053
-1226,-18,-18,0,9,1587
-31097,1,-18,-19,47,10033
25249,1,1,-19,28,927
-32767,-18,1,-19,28,9750
32767,-18,1,-19,28,2548
-32767,-18,-18,-19,47,6922
32767,1,1,18,9,5735
-32767,-18,1,-19,47,3943
13965,1,1,0,28,8299
-14435,-18,-18,-19,9,2133
-17190,-18,1,-19,28,9618
12304,-18,-18,0,65,1097
-32767,1,1,-19,28,10184
32767,1,1,-19,28,1379
-32767,-18,1,-19,9,8525
32767,-18,-18,-19,28,4113
-32767,-18,-18,-19,-10,5339
27551,1,-18,-19,9,7205
-27663,-18,1,-19,28,2906
-1641,-18,-18,-19,28,9072
-1282,-18,-18,0,47,1549
-31173,-18,1,-19,9,10014
25419,-18,1,-19,47,946
-32767,-18,1,-19,9,9694
32767,1,1,-19,9,2492
-32767,-18,1,0,47,6960
32767,-18,1,-19,9,5791
-32767,-18,-18,-19,9,3943
13738,-18,-18,-19,28,8261
-14567,-18,1,-19,65,2133
-17115,-18,1,-19,28,9637
12379,-18,1,0,9,1153
-32767,-18,-18,-19,28,10165
32767,-18,1,-19,9,1379
-32767,-18,1,0,47,8600
32767,-18,-18,0,28,4132
-32767,-18,1,-19,65,5301
27608,-18,1,-19,47,7186
-27587,-18,1,-19,28,2963
-1622,-18,1,-19,65,9109
-1075,-18,-18,-19,47,1568
-31192,-18,1,0,65,10033
25475,-18,1,-19,-10,946
-32767,-18,1,-19,28,9750
32767,-18,1,0,47,2473
-32767,1,-18,0,47,6941
32767,-18,1,-19,65,5772
-32767,-18,1,-19,47,3981
14021,-18,1,-19,9,8261
-14812,-18,-18,-19,9,2152
-16888,-18,-18,-19,47,9581
12229,-18,-18,0,9,1134
-32767,-18,-18,0,28,10184
32767,-18,1,0,28,1285
-32767,-18,-18,0,28,8544
32767,-18,1,-19,47,4094
-32767,-18,-18,-19,28,5414
27853,-18,1,-19,28,7130
-28078,-18,1,-19,47,2944
-1075,-18,1,0,-10,9053
-1660,-18,1,-19,47,1587
-30776,-18,1,-19,28,10033
25022,-18,1,-19,47,927
-32767,-18,1,-19,47,9750
32767,-18,1,-19,28,2473
-32767,-18,-18,-19,65,7017
32767,-18,-18,-19,28,5678
-32767,-18,1,-19,28,3981
14493,-18,-18,-19,28,8261
-15341,-18,1,0,-10,2228
-16454,-18,-18,0,28,9618
11644,-18,-18,-19,47,1153
-32767,-18,1,-19,9,10184
32767,1,-18,0,47,1360
-32767,-18,-18,-19,28,8600
32767,-18,-18,-19,47,3981
-32767,1,1,-19,47,5433
28381,-18,-18,-19,47,7149
-28550,-18,-18,-19,65,2982
-528,-18,-18,-19,47,8996
-2094,1,-18,-19,47,1606
-30248,-18,-18,-19,47,9995
24437,-18,1,-19,28,946
-32767,-18,-18,0,28,9807
32767,-18,-18,-19,28,2379
-32767,-18,1,-19,47,7092
32767,-18,-18,-19,28,5603
-32767,1,-18,-19,9,4057
14795,-18,1,-19,28,8167
-15624,-18,1,0,28,2152
-16152,-18,1,-19,47,9637
11360,1,1,-19,28,1134
-32767,-18,1,0,28,10184
32767,1,1,-19,28,1285
-32767,-18,1,-19,28,8695
32767,-18,1,-19,28,4038
-32767,-18,-18,-19,9,5433
28381,-18,1,-19,47,7035
-28342,-18,1,-19,9,2963
-584,1,1,-19,65,9034
-2075,-18,-18,-19,28,1606
-30418,-18,-18,-19,28,10033
24570,1,-18,-19,28,946
-32767,1,1,-19,9,9826
32767,-18,1,0,9,2397
-32767,1,1,-19,47,7035
32767,-18,1,-19,47,5659
-32767,1,-18,-19,28,4057
14738,-18,1,0,47,8280
-15473,-18,1,0,28,2190
-16303,-18,1,0,47,9581
11417,-18,-18,0,28,1134
-32767,1,1,-19,9,10203
32767,1,-18,-19,47,1304
-32767,1,19,-19,28,8657
32767,-18,1,0,65,4057
-32767,-18,-18,0,28,5433
28362,-18,19,-19,28,7111
-28531,-18,1,-19,28,2963
-565,1,1,-19,65,9015
-1867,-18,-18,0,28,1606
-30512,1,1,0,9,10033
24834,-18,-18,0,47,927
-32767,-18,1,-19,28,9769
32767,-18,1,0,9,2454
-32767,-18,1,-19,9,7111
32767,-18,-18,0,47,5659
-32767,-18,1,-19,28,4038
14701,-18,1,0,28,8223
-15435,-18,1,-19,28,2171
-16397,1,1,-19,28,9618
11587,1,19,0,28,1153
-32767,1,1,-19,47,10203
32767,-18,1,-19,65,1342
-32767,-18,1,-19,47,8657
32767,-18,1,-19,47,3981
-32767,-18,1,0,47,5395
28212,-18,-18,0,47,7092
-28172,1,1,0,28,2982
-943,-18,1,-19,47,9015
-1849,-18,1,-19,9,1587
-30607,1,1,-19,9,9995
24834,1,1,-19,65,927
-32767,-18,1,0,28,9788
32767,1,-18,-19,9,2397
-32767,-18,1,-19,47,6998
32767,-18,1,-19,47,5753
-32767,-18,1,0,47,4019
14512,-18,1,0,28,8242
-15303,1,-18,-19,28,2171
-16586,-18,1,-19,9,9637
11700,-18,1,0,-10,1172
-32767,-18,1,-19,28,10184
32767,1,1,0,28,1285
-32767,1,1,0,28,8657
32767,1,1,0,28,4075
-32767,-18,-18,0,47,5414
28212,-18,1,-19,47,7111
-28418,1,1,-19,28,2944
-773,-18,1,-19,28,9034
-1811,1,1,-19,28,1606
-30569,-18,-18,-19,9,10033
24815,-18,1,0,9,927
-32767,-18,-18,-19,9,9826
32767,1,-18,0,28,2454
-32767,-18,-18,0,9,7035
32767,-18,-18,-19,28,5565
-32767,1,1,-19,28,4057
14701,-18,-18,0,47,8223
-15322,1,1,-19,47,2228
-16284,-18,1,-19,9,9599
11681,-18,-18,-19,28,1134
-32767,-18,1,-19,47,10184
32767,-18,-18,-19,28,1323
-32767,-18,-18,0,47,8619
32767,-18,1,0,28,4019
-32767,-18,1,0,9,5452
28344,-18,-18,-19,28,7149
-28286,1,1,0,47,3001
-584,-18,1,0,-10,8996
-1962,1,1,-19,28,1568
-30456,-18,1,-19,28,10014
24551,-18,1,-19,28,927
-32767,-18,1,-19,47,9769
32767,-18,-18,0,47,2416
-32767,-18,1,-19,47,7073
32767,-18,1,-19,28,5697
-32767,1,1,-19,47,4019
14625,-18,1,-19,28,8223
-15397,-18,1,-19,28,2190
-16397,-18,1,-19,9,9599
11813,1,-18,0,28,1153
-32767,-18,1,-19,65,10165
32767,-18,1,-19,47,1304
-32767,-18,-18,-19,47,8695
32767,-18,1,0,9,4038
-32767,-18,1,0,28,5414
28362,1,1,0,65,7111
-28512,-18,1,-19,28,2982
-565,-18,1,-19,9,9072
-1943,-18,1,-19,28,1587
-30380,-18,1,-19,28,9995
24739,1,1,-19,-10,965
-32767,1,1,-19,9,9807
32767,-18,1,-19,28,2360
-32767,1,-18,0,-10,7054
32767,-18,-18,0,28,5640
-32767,1,-18,-19,28,4094
14814,1,-18,0,28,8242
-15397,1,1,-19,28,2171
-16265,-18,1,0,47,9599
11606,-18,-18,0,47,1153
-32767,-18,1,0,9,10184
32767,-18,1,0,28,1304
-32767,1,1,0,47,8619
32767,-18,1,0,47,4038
-32767,-18,1,-19,47,5433
28419,-18,-18,-19,28,7073
-28323,1,1,-19,47,2982
-584,-18,-18,-19,28,9034
-1924,-18,-18,-19,9,1643
-30399,-18,-18,-19,65,10052
24551,-18,1,-19,28,927
-32767,1,1,-19,-10,9807
32767,-18,1,0,9,2454
-32767,-18,1,-19,28,7092
32767,-18,1,0,65,5640
-32767,-18,1,-19,9,4038
14738,-18,1,-19,9,8223
-15435,-18,1,0,28,2228
-16209,-18,-18,-19,65,9618
11644,-18,1,-19,28,1134
-32767,-18,1,-19,-10,10222
32767,-18,1,-19,9,1360
-32767,-18,1,0,47,8695
32767,-18,-18,-19,28,3943
-32767,-18,1,0,-10,5433
28570,-18,1,0,47,7092
-28625,-18,-18,-19,28,3001
-377,-18,1,-19,9,9015
-2018,-18,1,-19,9,1606
-30286,1,-18,-19,9,10014
24456,-18,1,-19,47,946
-32767,1,-18,0,9,9807
32767,-18,-18,-19,28,2416
-32767,-18,-18,-19,65,7111
32767,-18,-18,0,47,5678
-32767,1,-18,0,9,4075
15021,-18,1,-19,28,8148
-15567,-18,-18,-19,47,2190
-16058,-18,-18,-19,9,9599
11474,-18,1,-19,47,1172
-32767,-18,1,-19,47,10203
32767,1,1,-19,28,1285
-32767,-18,1,-19,9,8695
32767,-18,-18,0,28,4038
-32767,-18,1,-19,28,5433
28495,-18,1,-19,28,7073
-28361,-18,-18,0,9,3001
-301,-37,1,-19,28,9053
-1981,1,1,-19,9,1606
-30305,-18,1,-19,9,10033
24343,-18,1,0,28,946
-32767,-18,1,-19,9,9807
32767,-18,1,0,28,2416
-32767,-18,1,0,28,7054
32767,-18,1,-19,28,5640
-32767,-18,1,0,28,4075
14946,-18,1,0,47,8242
-15473,-18,1,0,28,2209
-16001,-18,1,-19,28,9599
11474,1,1,0,9,1153
-32767,1,1,0,47,10222
32767,-18,1,0,47,1304
-32767,-18,1,-19,47,8657
32767,-18,1,-19,28,4038
-32767,-18,1,-19,9,5471
28419,-18,-18,-19,28,7149
-28474,-18,1,-19,28,2963
-528,-18,-18,-19,28,9015
-2000,-18,1,0,28,1587
-30324,-18,-18,-19,9,9977
24664,1,1,-19,28,946
-32767,-18,-18,0,9,9788
32767,-18,1,-19,9,2492
-32767,-18,-18,-19,9,7149
32767,-18,1,-19,9,5640
-32767,-18,1,-19,28,4038
14870,-18,1,-19,9,8223
-15548,-18,1,-19,28,2190
-16209,-18,-18,-19,28,9637
11493,-18,-18,0,28,1153
-32767,-18,1,-19,9,10184
32767,-18,1,-19,47,1323
-32767,-18,1,0,47,8638
32767,-18,1,0,47,4000
-32767,1,-18,0,28,5414
28362,-18,1,0,28,7111
-28210,-18,1,-19,28,3001
-679,-18,1,0,47,9034
-1943,1,-18,-19,28,1587
-30456,-18,1,0,28,10014
24834,-18,1,-19,47,946
-32767,1,-18,0,-10,9788
32767,-18,1,-19,-10,2360
-32767,-18,1,0,9,7017
32767,1,-18,-19,28,5716
-32767,-18,-18,-19,28,4057
14795,-18,1,-19,9,8242
-15341,-18,1,-19,9,2209
-16209,-18,1,-19,28,9581
11474,1,1,-19,9,1172
-32767,-18,-18,-19,28,10203
32767,1,1,-19,28,1304
-32767,-18,1,-19,47,8676
32767,-18,-18,-19,9,4038
-32767,-18,1,-19,9,5471
28513,-18,-18,-19,47,7073
-28512,-18,-18,-19,28,2963
-358,1,1,0,28,9015
-2094,-18,1,-19,28,1624
-30210,-18,1,-19,47,10014
24362,1,-18,0,28,946
-32767,-18,-18,-19,28,9788
32767,-18,1,-19,-10,2416
-32767,-18,1,0,9,7073
32767,-18,1,0,28,5603
-32767,-18,1,-19,28,4075
15135,-18,1,-19,28,8223
-15718,-18,1,-19,28,2190
-15680,-18,1,-19,47,9581
11247,-18,-18,0,9,1172
-32767,1,-18,-19,28,10222
32767,-18,1,0,47,1342
-32767,-18,1,-19,47,8676
32767,-18,1,0,28,3962
-32767,-18,1,-19,47,5471
28910,-37,1,-19,47,7054
-28682,-18,1,-19,28,2982
152,-18,1,0,28,8996
-2566,1,1,0,28,1568
-29852,-18,1,-19,47,10071
24022,-18,1,-19,9,946
-32767,-18,1,-19,9,9826
32767,-18,1,-19,47,2341
-32767,-18,1,-19,28,7167
32767,-18,-18,-19,65,5697
-32767,1,-18,0,9,4094
15191,-18,1,0,-10,8185
-15718,-37,-18,0,47,2228
-15831,-18,1,-19,28,9599
11191,-18,-18,-19,9,1134
-32767,-18,1,0,9,10222
32767,1,1,-19,9,1285
-32767,-18,1,-19,47,8732
32767,1,-18,0,47,3962
-32767,1,1,0,47,5452
28759,-18,1,-19,9,7073
-28776,-18,1,0,47,3038
-75,1,1,-19,9,9015
-2320,-18,1,-19,28,1606
-29871,-18,1,-19,47,9977
24249,1,1,0,47,965
-32767,1,1,0,9,9807
32767,1,1,-19,28,2360
-32767,-18,1,-19,28,7130
32767,1,1,0,28,5621
-32767,-18,1,0,9,4170
15342,-18,1,-19,-10,8185
-15926,-18,1,-19,47,2209
-15737,-18,1,-19,47,9599
10983,1,1,-19,28,1153
-32767,-18,-18,-19,28,10203
32767,1,19,0,-10,1229
-32767,-18,1,0,47,8732
32767,-18,-18,-19,47,3925
-32767,-18,1,-19,47,5508
28853,-18,-18,-19,47,7073
-28757,-18,1,-19,28,3038
76,-18,1,0,28,8977
-2566,-18,1,0,9,1643
-29871,1,-18,0,28,10014
24098,1,1,-19,47,965
-32767,1,1,-19,28,9788
32767,-18,-18,0,-10,2397
-32767,1,1,0,28,7130
32767,1,1,0,28,5546
-32767,1,1,0,28,4094
15342,-18,1,-19,47,8167
-15926,1,-18,0,9,2209
-15718,-18,1,-19,-10,9599
