noise_1_channel	noise_2_channel	noise_3_channel	noise_4_channel	amp_channel	trig_channel
20097	-18	1	-19	28	965
-25380	-18	-18	-19	28	2831
-32767	-18	1	-19	65	7676
-31984	1	1	-19	28	10090
19739	-18	-18	-19	47	7903
32767	-18	1	-19	47	2643
7077	1	1	-19	28	1285
-32767	-18	1	-19	47	3830
-32767	1	-18	-19	47	9147
-18134	-18	1	-19	9	9731
32287	1	-18	-19	65	6734
32767	1	1	-19	65	1417
-6189	1	-18	-19	65	1794
-32767	1	-18	-19	28	5282
-32767	-18	-18	-19	28	10071
-2849	-18	1	-19	65	9166
32767	1	-18	-19	47	5207
26419	20	1	-19	28	927
-18964	1	-18	-19	9	2416
-32767	1	-18	-19	9	6866
-32767	1	1	-19	47	10222
12530	1	-18	-19	9	8412
32767	1	-18	-19	65	3529
13700	1	-18	-19	28	1059
-31248	1	1	-19	28	3302
-32767	-18	-18	-19	28	8431
-25644	-18	-18	-38	9	9958
26192	1	-18	-19	28	7431
32767	-18	-18	-19	47	1983
491	1	-18	-19	9	1492
-32767	1	-18	-19	47	4509
-32767	1	-18	-19	28	9694
-10680	-18	-18	-19	47	9449
32767	1	-18	-19	47	5961
32099	1	-18	-19	47	1059
-12472	1	-18	-19	28	2077
-32767	1	-18	-19	9	6036
-32767	-18	-18	-19	28	10203
5001	1	-18	-19	47	8808
32767	1	-18	-19	47	4396
20060	-18	-18	-19	47	946
-25304	1	-18	-19	47	2831
-32767	-18	1	-19	28	7676
-32097	1	-18	-19	28	10146
19626	-18	-18	-19	9	7959
32767	1	1	-19	9	2699
6945	1	-37	-19	9	1304
-32767	1	-18	-19	28	3830
-32767	-18	1	-19	28	9185
-18228	1	1	-19	28	9731
32174	-18	1	-19	28	6734
32767	-18	-18	-19	65	1455
-6057	-18	-18	-19	9	1775
-32767	-18	-18	-19	28	5244
-32767	-18	-18	-19	9	10052
-2698	-18	1	-19	47	9147
32767	1	-18	-19	28	5188
26136	1	-18	-19	28	946
-19266	-18	1	-19	65	2397
-32767	-18	-18	-19	28	6866
-32767	-18	-18	-19	9	10222
12700	-18	-18	-19	28	8393
32767	1	-18	-19	28	3434
13625	1	1	-19	28	1097
-31475	1	-18	-19	9	3302
-32767	-18	-18	-19	28	8506
-25248	1	-18	-19	28	9920
26608	1	-18	-19	28	7318
32767	1	1	-19	28	2020
208	1	1	0	-10	1511
-32767	1	1	-19	28	4509
-32767	-18	1	0	28	9713
-10265	-18	1	-19	65	9486
32767	1	1	0	9	5961
31778	-18	1	-19	47	1078
-12906	-18	-18	-19	9	2077
-32767	1	1	-19	9	6074
-32767	1	-18	-19	65	10222
5265	-18	-18	-19	28	8770
32767	-18	-18	-19	28	4245
19418	1	-18	-19	28	983
-25776	-18	-18	-19	47	2850
-32767	-18	-18	-19	47	7714
-31663	-18	1	-19	47	10071
20097	-18	-18	-19	28	7865
32767	-18	1	-19	47	2643
6662	1	-18	-19	28	1285
-32767	1	-18	-19	28	3868
-32767	1	1	-19	9	9185
-17643	-18	1	-19	28	9713
32646	-18	1	-19	9	6602
32767	1	1	-19	28	1417
-6717	1	1	-19	65	1794
-32767	1	1	-19	-10	5225
-32767	1	1	-19	47	10052
-2169	-18	1	-19	28	9109
32767	-18	1	-19	9	5075
25872	1	1	-19	65	946
-19568	1	1	-19	65	2435
-32767	1	1	-19	65	6885
-32767	1	1	-19	47	10203
13097	1	-18	-19	28	8393
32767	-18	1	-19	28	3472
12983	1	1	-19	9	1115
-31607	1	-18	-19	47	3321
-32767	1	1	-19	65	8506
-25229	1	-18	-19	28	9920
26721	1	1	-19	28	7299
32767	1	1	-19	47	1907
114	-18	1	0	47	1530
-32767	1	1	0	28	4490
-32767	1	-18	-19	28	9694
-10284	1	-18	-19	28	9467
32767	-18	-18	-19	28	5904
31816	-18	-18	-19	28	1078
-12869	1	1	-19	65	2115
-32767	1	1	-19	47	6017
-32767	-18	-18	-19	65	10222
5228	-18	1	-19	28	8826
32767	-18	1	-19	84	4339
19720	1	-18	-38	47	983
-25531	1	1	-19	28	2831
-32767	-18	1	-19	9	7733
-31758	-18	1	-38	28	10109
20041	1	1	-19	28	7846
32767	20	1	-19	28	2680
6473	1	1	-19	28	1285
-32767	1	-18	-19	47	3906
-32767	1	-18	-19	65	9222
-17699	1	1	0	47	9750
32608	-18	-18	-19	28	6639
32767	1	-18	-19	28	1417
-6510	-18	-18	-19	28	1794
-32767	1	1	-19	28	5225
-32767	-18	-18	-19	28	10109
-2169	-18	1	-19	47	9147
32767	1	1	-19	9	5075
25683	20	1	0	28	965
-19700	1	1	-19	28	2435
-32767	-18	-18	-19	28	6885
-32767	-18	-18	-19	47	10222
13191	-18	-18	-19	28	8374
32767	-18	-18	-19	28	3378
13097	1	-18	-19	47	1115
-32022	1	-18	-19	47	3359
-32767	-18	1	-19	28	8525
-24870	-18	1	-19	28	9958
26985	-18	-18	-19	47	7262
32767	1	1	-19	28	1926
-18	1	-18	-19	-10	1511
-32767	-18	1	-19	9	4509
-32767	-18	1	0	47	9750
-10133	20	-18	0	28	9505
32767	-18	1	-19	47	5848
31570	-18	1	-19	9	1097
-13114	1	-18	-19	47	2077
-32767	1	-18	-19	47	6036
-32767	1	1	-38	28	10278
5624	-18	1	-19	28	8808
32767	1	1	-19	65	4226
19512	1	1	-19	28	1040
-25889	1	1	-19	65	2869
-32767	1	1	-19	28	7714
-31795	-18	-18	-19	65	10146
19965	1	-18	-19	47	7922
32767	-18	1	-19	28	2624
6756	1	-18	-19	28	1304
-32767	-18	-18	-19	9	3868
-32767	1	-18	-19	28	9222
-17850	-18	-18	-19	47	9750
32344	-18	-18	-19	47	6602
32767	1	1	-19	47	1417
-6491	1	-18	-19	47	1775
-32767	1	-18	0	28	5225
-32767	1	-18	-19	47	10052
-2490	1	-18	-19	47	9185
32767	-18	-37	-19	65	5093
25966	-18	-18	-19	28	983
